parameter,description,baseline_value,range,unit,source_or_assumption,source_note,used_in_sensitivity_analysis
SIRWS recovered-to-waned duration,Duration before fully immune recovered state moves to waned-but-boostable state,6113.75,1825 to 1.825e+04 days per stage (half of sampled total natural-immunity duration),days,Pertussis waning and immune-boosting model evidence,Equal R and W stages approximate an Erlang shape-2 total natural-immunity residence time when boosting is absent.,True
SIRWS waned-to-susceptible duration,Duration before waned-but-boostable state loses residual natural immunity,6113.75,1825 to 1.825e+04 days per stage (half of sampled total natural-immunity duration),days,Pertussis waning and immune-boosting model evidence,Equal R and W stages approximate an Erlang shape-2 total natural-immunity residence time when boosting is absent.,True
SIRWS boosting efficiency,Fraction of waned-natural exposure events that restore immunity,0.7,0 to 1 admissible; fixed at 0.70 in the submitted primary analysis,proportion,SIRWS immune-boosting model assumption,Controls what fraction of re-exposure events boost waned-natural immunity back toward the recovered state.,False
Waned-natural infection susceptibility,Susceptibility scalar for the waned-natural-immunity state,0.35,0 to 1 admissible; fixed at 0.35 in the submitted primary analysis,proportion,SIRWS immune-boosting model assumption,Susceptibility scalar for waned-natural-immunity breakthrough infection after failed boosting.,False
Waned vaccine-origin effect weight,Relative vaccine-effect weight assigned to waned vaccine-origin histories,0.35,0 to 1 admissible; fixed at 0.35 in the submitted primary analysis,proportion,Vaccine-origin mapping assumption,Residual vaccine-effect weight assigned to waned vaccine-origin states.,False
Maternal-origin effect weight,Relative vaccine-effect weight assigned to maternal-protection origin histories,0.75,0 to 1 admissible; fixed at 0.75 in the submitted primary analysis,proportion,Maternal-origin mapping assumption,Relative vaccine-effect weight assigned to the maternal-protection origin.,False
Dose-1 origin effect weight,Relative vaccine-effect weight assigned after one primary-series dose,0.45,0 to 1 admissible; fixed at 0.45 in the submitted primary analysis,proportion,Dose-history mapping assumption,Relative vaccine-effect weight assigned after one primary-series dose.,False
Dose-2 origin effect weight,Relative vaccine-effect weight assigned after two primary-series doses,0.75,0 to 1 admissible; fixed at 0.75 in the submitted primary analysis,proportion,Dose-history mapping assumption,Relative vaccine-effect weight assigned after two primary-series doses.,False
Waned vaccine-origin loss duration,Duration of residual protection for waned vaccine-origin histories,798.0,365 to 2190 days per stage (half of sampled total vaccine-origin protection duration),days,aP waning literature-to-model mapping,The sampled total duration is split equally between recent and waned vaccine-origin stages.,True
Initial recent-vaccine-origin fraction,Fallback fraction of vaccinated-origin people initialized as recently protected,0.35,Age-specific initial fractions 0.06 to 1.00; shared fallback 0.35,proportion,Initial immunity-history mapping assumption,Shared fallback for the fraction of vaccinated-origin individuals initialized as recently protected; age-specific values override it.,False
Vaccine susceptibility effect ($VE_{\mathrm{sus}}$),Baseline symptom_protective reduction in susceptibility to infection,0.15,Fixed in the submitted primary analysis,proportion,Literature-informed vaccine-mechanism scenario,Human effectiveness studies do not separately identify acquisition and symptom effects; VE_sus is fixed by the selected mechanism scenario in the evidence-prior PSA.,False
Vaccine symptom effect ($VE_{\mathrm{sym}}$),Baseline symptom_protective reduction in symptomatic disease given infection,0.8670588235,Derived from overall vaccine disease efficacy; 0.7 to 0.97 (complement-truncated-lognormal support),proportion,Household-exposure overall vaccine-effect evidence,VE_sym is derived conditional on scenario VE_sus so acquisition and symptom effects are not sampled independently.,True
Vaccine infectiousness effect ($VE_{\mathrm{inf}}$),Baseline symptom_protective reduction in onward infectiousness,0.25,Fixed in the submitted primary analysis,proportion,Literature-informed vaccine-mechanism scenario,Human evidence supports residual transmission but does not identify an independent VE_inf distribution.,False
Vaccine infectious-duration effect ($VE_{\mathrm{dur}}$),Baseline symptom_protective reduction in infectious duration,0.0,Fixed in the submitted primary analysis,proportion,Vaccine-mechanism scenario assumption,No human study identifies an independent infectious-duration vaccine effect.,False
Imported infection seeding rate,"Low-level imported infections per 100,000 persons per year",0.2,Bounded calibration support 0.01 to 2.00,"per 100,000 per year",Importation implementation assumption,Low-level imported infection seeding prevents deterministic extinction and is bounded in calibration support.,False
Target resistant fraction at analysis start,Macrolide-resistant fraction after burn-in rebalance,0.3,"Country-timeline anchor or fixed scenarios 0.05, 0.30, 0.70, and 0.95",proportion,Country resistance evidence and fixed stress-test scenarios,Country-timeline analyses use the latest admissible country-specific resistance anchor; fixed scenarios retain low-to-very-high contrasts.,False
Resistant fraction among imports,Fraction of imported infections assigned to the resistant strain,0.3,"Country-timeline anchor or fixed scenarios 0.05, 0.30, 0.70, and 0.95",proportion,Country resistance evidence and fixed stress-test scenarios,The resistant fraction among imports follows the country-timeline or fixed resistance-scenario anchor.,False
Resistance prevalence anchoring rate,Annual rate used during burn-in rebalance toward evidence-based resistant fraction,2.0,Fixed at 2.0 per year for country-timeline anchoring,per year,Resistance anchoring implementation assumption,Burn-in rebalance rate used to move strain composition toward the evidence-based analysis-start anchor.,False
Resistance rebalance after burn-in,Whether burn-in output is rebalanced to the evidence-based resistant fraction,True,Enabled in country-timeline analyses,boolean,Resistance anchoring implementation assumption,Submitted country-timeline analyses rebalance resistant prevalence after burn-in to match the evidence anchor.,False
Age-specific reporting probabilities,Observation-layer probabilities converting symptomatic cases to reported cases,Country- and age-specific,Country- and age-specific calibrated probabilities; prior bounds reported in the fitted reporting-probability table,proportion,Age-specific reporting priors and country calibration,Baseline age-specific reporting probabilities are country-calibrated and reported in the fitted reporting-probability table.,False
Reporting multiplier,Country-calibrated multiplier applied to age-specific reporting probabilities,1.0,0.5 to 1.5 (truncated-lognormal support),ratio,Calibrated observation layer plus transfer prior,The evidence-prior factor is applied around the calibrated country value and assessed only against reported cases.,True
Negative-binomial calibration dispersion,Dispersion parameter for reported-case likelihood,50.0,Fixed at 50 in the negative-binomial likelihood; stochastic overlay explores k=5 to 50 separately,count-scale dispersion,Negative-binomial observation-model assumption,Dispersion parameter used in the reported-case calibration likelihood.,False
Calibration observation window,Number of recent surveillance years used for calibration when available,6,Up to 6 recent observed years when available,years,Calibration design,Number of recent surveillance years used by the staged calibration objective when available.,False
Calibration mean-incidence tolerance,Retained-fit tolerance for model-to-observed mean reported incidence,0.25,Fixed at 0.25 for retained mean-incidence calibration,relative difference,Calibration acceptance criterion,Maximum tolerated relative deviation of modeled from observed mean annualised reported incidence during retained calibration.,False
Routine vaccination target-relaxation rate,Annual relaxation rate toward age-specific vaccine-origin targets,2.0,2.0 per year baseline; 6.0 per year in routine-timeliness sensitivity,per year,Routine-immunisation implementation assumption,Rate at which routine vaccination relaxes toward age-specific target dose-history origins.,False
Routine vaccination maximum daily flow,Maximum daily fraction moved from unvaccinated susceptible state into vaccine-origin states,0.01,0.01 per day baseline; 0.03 per day in routine-timeliness sensitivity,per day,Routine-immunisation numerical safeguard,Caps daily flow from unvaccinated susceptible states to avoid numerical overshoot in the ODE implementation.,False
Initial exposed seeding,"Initial exposed infections per 100,000 persons before burn-in",1.5,"Fixed at 1.5 per 100,000 before burn-in","per 100,000",Initial-condition implementation assumption,Low-level exposed seeding at model start; long burn-in reduces dependence on this value.,False
Initial infectious seeding,"Initial infectious infections per 100,000 persons before burn-in",0.6,"Fixed at 0.6 per 100,000 before burn-in","per 100,000",Initial-condition implementation assumption,Low-level infectious seeding at model start; long burn-in reduces dependence on this value.,False
Initial resistant fraction before burn-in,Initial resistant fraction used before burn-in rebalance,0.3,Fixed at 0.30 before burn-in; country-timeline analyses rebalance after burn-in,proportion,Initial-condition implementation assumption,Starting resistant fraction before burn-in; submitted country-timeline analyses subsequently rebalance to the evidence anchor.,False
Treatment initiation rate for symptomatic infection,Daily transition from symptomatic infection to treatment,0.025,Fixed in the submitted primary analysis,per day,CDC guidance plus implementation assumption,CDC supports early macrolide treatment but does not define the daily treatment transition rate; numeric treatment effects are implementation assumptions evaluated in sensitivity/scenario analyses.,False
Treatment initiation rate for asymptomatic infection,Daily transition from asymptomatic infection to treatment,0.002,Fixed low-rate pathway in submitted analyses,per day,Clinical-pathway implementation assumption,Asymptomatic treatment is assumed rare and is scaled by diagnosis probability in the ODE treatment block; included to keep the treatment-rate implementation traceable to code.,False
Sensitive-strain treatment duration reduction,Reduction in infectious duration under standard treatment for sensitive infections,0.2,Fixed at 0.20 for standard sensitive-strain treatment,proportion,CDC guidance plus treatment-effect implementation assumption,Standard macrolide treatment is assumed to shorten infectious duration for sensitive infections when started early.,False
Sensitive-strain treatment infectiousness reduction,Reduction in infectiousness under standard treatment for sensitive infections,0.15,Fixed at 0.15 for standard sensitive-strain treatment,proportion,CDC guidance plus treatment-effect implementation assumption,Standard macrolide treatment is assumed to reduce infectiousness for sensitive infections when started early.,False
Resistant-strain treatment duration reduction,Reduction in infectious duration under standard macrolide treatment for resistant infections,0.1,0.10 under standard macrolide practice; 0.45 under resistance-guided management,proportion,Macrolide-resistance treatment-effect assumption,Standard macrolide management is assumed to shorten resistant infections less than sensitive infections; resistance-guided management varies this.,False
Resistant-strain treatment infectiousness reduction,Reduction in infectiousness under standard macrolide treatment for resistant infections,0.05,0.05 under standard macrolide practice; 0.35 under resistance-guided management,proportion,Macrolide-resistance treatment-effect assumption,Standard macrolide management is assumed to reduce resistant infectiousness less than sensitive infectiousness; resistance-guided management varies this.,False
PEP reach among close contacts,Dynamic PEP coverage ceiling among close contacts,0.3,0.05 to 0.6 (beta-pert support),proportion,CDC guidance plus elicited implementation prior,Guidance identifies priority contacts but does not estimate coverage; the distribution is explicitly an implementation prior.,True
PEP effectiveness for macrolide-sensitive infection,Reduction in susceptible exposure under standard PEP for sensitive infection,0.823,0.05 to 0.99 (complement-truncated-lognormal support),proportion,Timely PEP effectiveness study,The prior is centred on 82.3% effectiveness for PEP delivered within seven days.,True
PEP effectiveness for macrolide-resistant infection,Reduction in susceptible exposure under standard macrolide PEP for resistant infection,0.1,Fixed in the submitted primary analysis,proportion,CDC resistance and PEP guidance,Standard macrolide PEP for confirmed high-level resistance is not assigned a pseudo-empirical continuous prior.,False
PEP activation prevalence proxy,Detection/prevalence proxy threshold for activating PEP reach,2e-05,Fixed at 0.00002 in the submitted primary analysis,prevalence,PEP implementation threshold assumption,Low detection/prevalence proxy that activates PEP reach in the reduced-form contact-management pathway.,False
