psa_sample_id,sample_design,uncertainty_schema_version,resistance_management_uptake,resistance_management_pep_reach_multiplier
66,latin_hypercube_inverse_cdf_resistance_management,1,0.6684313028201405,0.8077589577163773
67,latin_hypercube_inverse_cdf_resistance_management,1,0.8180848783331893,0.9706165079298259
68,latin_hypercube_inverse_cdf_resistance_management,1,0.6883550388579712,0.8497432643555226
69,latin_hypercube_inverse_cdf_resistance_management,1,0.8781394222144706,0.8086130351556108
70,latin_hypercube_inverse_cdf_resistance_management,1,0.736777570195811,0.900241509611337
71,latin_hypercube_inverse_cdf_resistance_management,1,0.7096187233891234,0.655838284260712
72,latin_hypercube_inverse_cdf_resistance_management,1,0.7570023022305579,0.7429089555463566
73,latin_hypercube_inverse_cdf_resistance_management,1,0.6208721711597236,0.6240862499828022
74,latin_hypercube_inverse_cdf_resistance_management,1,0.8278095223872657,0.8923523008090846
75,latin_hypercube_inverse_cdf_resistance_management,1,0.5348419858049901,0.609793150269631
76,latin_hypercube_inverse_cdf_resistance_management,1,0.9242883946939411,0.9446809942335201
77,latin_hypercube_inverse_cdf_resistance_management,1,0.6829494929977488,0.9399110629884162
78,latin_hypercube_inverse_cdf_resistance_management,1,0.6710567076253398,0.9336557262541947
79,latin_hypercube_inverse_cdf_resistance_management,1,0.5015872258260432,0.8783765143979464
80,latin_hypercube_inverse_cdf_resistance_management,1,0.7658840856687186,0.8245441593092906
81,latin_hypercube_inverse_cdf_resistance_management,1,0.5547080930288169,0.8378245818917109
82,latin_hypercube_inverse_cdf_resistance_management,1,0.7216086072645924,0.79455868546348
83,latin_hypercube_inverse_cdf_resistance_management,1,0.7983676184428521,0.8952255252516632
84,latin_hypercube_inverse_cdf_resistance_management,1,0.6888569320042764,0.5479859109842937
85,latin_hypercube_inverse_cdf_resistance_management,1,0.9106027424736682,0.5713834881411832
86,latin_hypercube_inverse_cdf_resistance_management,1,0.731806500181918,0.7876330331786208
87,latin_hypercube_inverse_cdf_resistance_management,1,0.9034561293425505,0.8181207183199874
88,latin_hypercube_inverse_cdf_resistance_management,1,0.7122185604995765,0.9284132411936077
89,latin_hypercube_inverse_cdf_resistance_management,1,0.874570496143263,0.8715971162039314
90,latin_hypercube_inverse_cdf_resistance_management,1,0.526797553687995,0.9982073276291489
91,latin_hypercube_inverse_cdf_resistance_management,1,0.6986417716022864,0.8561571116662291
92,latin_hypercube_inverse_cdf_resistance_management,1,0.7234871994676303,0.5079533788320635
93,latin_hypercube_inverse_cdf_resistance_management,1,0.8360474657674377,0.8399802243723371
94,latin_hypercube_inverse_cdf_resistance_management,1,0.9562108798066057,0.711136685676955
95,latin_hypercube_inverse_cdf_resistance_management,1,0.7949536913827866,0.9527769623990253
96,latin_hypercube_inverse_cdf_resistance_management,1,0.6849407845769739,0.7013877017828772
97,latin_hypercube_inverse_cdf_resistance_management,1,0.8001727501532854,0.6511767722310703
98,latin_hypercube_inverse_cdf_resistance_management,1,0.7054495242636272,0.6206506763655626
99,latin_hypercube_inverse_cdf_resistance_management,1,0.7711504905441814,0.8649920114530115
100,latin_hypercube_inverse_cdf_resistance_management,1,0.9279840610203416,0.5901008040935999
101,latin_hypercube_inverse_cdf_resistance_management,1,0.6356468069806984,0.5874182285640247
102,latin_hypercube_inverse_cdf_resistance_management,1,0.8100586327434889,0.6767071338812938
103,latin_hypercube_inverse_cdf_resistance_management,1,0.9739331501241244,0.7796668810459513
104,latin_hypercube_inverse_cdf_resistance_management,1,0.7631899252157974,0.9254567237950773
105,latin_hypercube_inverse_cdf_resistance_management,1,0.6271676946569719,0.6869307155419161
106,latin_hypercube_inverse_cdf_resistance_management,1,0.888270313716762,0.8146651834565528
107,latin_hypercube_inverse_cdf_resistance_management,1,0.6004872801415372,0.9901421796717552
108,latin_hypercube_inverse_cdf_resistance_management,1,0.7781861637176253,0.9755055208289295
109,latin_hypercube_inverse_cdf_resistance_management,1,0.6316668691347871,0.8466937796018499
110,latin_hypercube_inverse_cdf_resistance_management,1,0.7413165680746453,0.7734988139114876
111,latin_hypercube_inverse_cdf_resistance_management,1,0.8821923500641143,0.5543352966472135
112,latin_hypercube_inverse_cdf_resistance_management,1,0.6605086548902168,0.6329150787533651
113,latin_hypercube_inverse_cdf_resistance_management,1,0.8199950523281009,0.8894076376068158
114,latin_hypercube_inverse_cdf_resistance_management,1,0.6437531804534468,0.7214678512146504
115,latin_hypercube_inverse_cdf_resistance_management,1,0.7454359486900707,0.6461667957064618
116,latin_hypercube_inverse_cdf_resistance_management,1,0.7188968715663977,0.6425677823025573
117,latin_hypercube_inverse_cdf_resistance_management,1,0.8487790725195673,0.5279788630306818
118,latin_hypercube_inverse_cdf_resistance_management,1,0.616330517794793,0.7231421127311525
119,latin_hypercube_inverse_cdf_resistance_management,1,0.847938554414896,0.6317560656605848
120,latin_hypercube_inverse_cdf_resistance_management,1,0.7619890806375995,0.7689699405003658
121,latin_hypercube_inverse_cdf_resistance_management,1,0.49583991943996525,0.9308576153066046
122,latin_hypercube_inverse_cdf_resistance_management,1,0.856490762849262,0.5651343353746136
123,latin_hypercube_inverse_cdf_resistance_management,1,0.5707426571852365,0.8864710469777244
124,latin_hypercube_inverse_cdf_resistance_management,1,0.623130095137886,0.9062594715592869
125,latin_hypercube_inverse_cdf_resistance_management,1,0.6761086498400868,0.5838779123947876
126,latin_hypercube_inverse_cdf_resistance_management,1,0.7483377895738579,0.9644412798473718
127,latin_hypercube_inverse_cdf_resistance_management,1,0.7003013535350187,0.8291897456522355
128,latin_hypercube_inverse_cdf_resistance_management,1,0.6953963208561738,0.8680578631399667
