formula_or_model_block,parameter_or_setting,value_used,code_location,evidence_or_rationale,sensitivity_or_supplement_link
Vaccine origin weights,Dose-2 relative effect,0.75,"config/model_settings.yaml: immunity_model.dose2_relative_effect; src_python/model/vaccination.py","Partial-dose protection proxy","eTable 5"
Baseline vaccine scenario,Current aP-like symptom-protective profile,"VE_sus 0.15; VE_sym 0.85; VE_inf 0.25; VE_dur 0.00","config/model_settings.yaml: vaccine_scenarios.symptom_protective; src_python/model/parameters.py","Mechanistic decomposition of high disease protection with weaker infection/transmission blocking","eTable 5; eTable 13"
Future vaccine scenarios,Transmission-blocking profile,"VE_sus 0.30; VE_sym 0.85; VE_inf 0.55; VE_dur 0.30","config/model_settings.yaml: vaccine_scenarios.transmission_blocking","Future product-target scenario, not an available policy","eTable 4; eTable 13"
Future vaccine scenarios,High-transmission-blocking profile,"VE_sus 0.80; VE_sym 0.90; VE_inf 0.65; VE_dur 0.40","config/model_settings.yaml: vaccine_scenarios.next_generation","Upper-bound mucosal or next-generation product target","eTable 4; eTable 13"
Maternal vaccine override,Pregnancy Tdap maternal-origin protection,"maternal VE_sus 0.55; maternal VE_sym 0.92","config/model_settings.yaml: intervention_scenarios.pregnancy_tdap_scaleup; src_python/simulation/common.py::apply_intervention_definition","Scenario-specific override applied only to maternal origin","eTable 4; eMethods vaccine mechanism"
Transmission,Relative infectiousness of asymptomatic infection,0.35,"config/model_settings.yaml: transmission.relative_infectiousness_asymptomatic; src_python/model/force_of_infection.py","Literature-informed residual subclinical transmission assumption","eTable 5; global sensitivity"
Transmission,Seasonal amplitude and phase,"Country-specific processed values; shared default amplitude 0.18 phase 30","src_python/data/build_country_inputs.py::infer_seasonality; config/country_profiles.yaml","Derived from circular concentration of weekly/monthly reported cases","eTable 1; eTable 5"
Transmission,Multi-year forcing,"Period from 3-5 year peak intervals; amplitude clip(0.06+0.08*CV,0.06,0.16) when supported","src_python/data/build_country_inputs.py::infer_multiyear_cycle","Diagnostic recurrence term, disabled when surveillance peaks do not support recurrence","eMethods seasonal formula"
Importation,Importation rate,0.20 per 100000 persons per year before calibration overlay,"config/model_settings.yaml: importation.rate_per_100k_per_year; src_python/model/ode_system.py::_add_importation","Low-level reintroduction process preventing deterministic extinction","eTable 5; calibration eTable 7"
Resistance,Country-timeline starting resistant fraction,Latest admissible country-specific anchor at or before 2025,"src_python/simulation/common.py::_apply_country_resistance_timeline; data/raw/country_resistance_timeline.csv","Uses measured or conservative public resistance evidence","eTable 3; eTable 6; eTable 14"
Resistance,Resistant-strain relative fitness,1.00 baseline; grid 0.70-1.25,"config/model_settings.yaml: resistance_scenarios and fitness_grid; src_python/model/force_of_infection.py","Neutral baseline with broad stress-test grid because direct fitness estimates are unavailable","eTable 3; eTable 14"
Treatment,Current symptomatic and asymptomatic treatment rates,"0.025/day symptomatic; 0.002/day asymptomatic, scaled by diagnosis probability","config/model_settings.yaml: treatment; src_python/model/ode_system.py","CDC-guided early treatment represented as reduced-form clinical pathway assumption","eTable 5; eTable 14"
Treatment,Standard treatment effects by strain,"Sensitive duration reduction 0.20 and infectiousness reduction 0.15; resistant 0.10 and 0.05","config/model_settings.yaml: treatment; src_python/model/treatment.py","Allows weaker benefit of standard macrolide treatment for resistant infections","eTable 14"
Treatment,Resistance-guided management,"Treatment rate 0.065/day; resistant duration reduction 0.45; resistant infectiousness reduction 0.35","config/model_settings.yaml: intervention_scenarios.resistance_guided_treatment","Reduced-form resistance testing and alternative-treatment stress test","eTable 4; eTable 14"
PEP,Current PEP reach and effectiveness,"Coverage 0.30; sensitive effectiveness 0.70; resistant effectiveness 0.10; activation prevalence 0.00002","config/model_settings.yaml: PEP; src_python/model/force_of_infection.py","Guideline-prioritised close-contact prophylaxis represented as reduced-form force-of-infection modifier","eTable 5; eTable 14"
PEP,Targeted high-risk PEP reach,0.45 household/contact reach,"config/model_settings.yaml: intervention_scenarios.targeted_pep_high_risk","Improved reach among household and high-risk contacts, not broad community PEP","eTable 4"
PEP,Resistance-guided PEP effectiveness for resistant strain,0.45,"config/model_settings.yaml: intervention_scenarios.resistance_guided_treatment","Assumed improvement in resistant-strain prophylaxis effectiveness under resistance-guided management","eTable 14"
Routine vaccination,Default target relaxation and daily cap,"2.0/year relaxation; 0.01/day maximum flow from unvaccinated susceptible pool","config/model_settings.yaml: routine_vaccination; src_python/model/ode_system.py::_add_routine_vaccination","Prevents instantaneous redistribution and numerical overshoot","eTable 9"
Routine vaccination,Routine timeliness sensitivity,"6.0/year relaxation; 0.03/day cap; schedule-relative age-bin vaccine-origin targets derived from each profile's routine schedule","src_python/simulation/run_routine_timeliness_sensitivity.py","Tests reduced delay relative to the local routine schedule within broad model age bins","eTable 4; routine-timeliness diagnostics"
Demography,Population and births,UN WPP 2024 annual age trajectories and births,"src_python/data/build_country_inputs.py; src_python/model/ode_system.py::_apply_wpp_demography","Maintains country age structure over 2025-2050","eTable 1; eTable 9"
Contact matrix,All-setting contact matrix,Prem/contactdata matrix aggregated to model age groups and reciprocity balanced,"src_python/data/build_country_inputs.py::aggregate_contact_matrix; src_python/model/contact_matrix.py","Population-weighted social contact estimates","eTable 1; eTable 9"
Contact intervention,Close-contact adult adjunct,"Young-adult coverage floor 0.55; young-adult-to-infant effective contacts reduced by 15%; reciprocity correction disabled after reduction","config/model_settings.yaml: intervention_scenarios.cocooning_adjunct; src_python/simulation/common.py","Directional infant-exposure reduction proxy","eTable 4; eMethods contact-matrix note"
Observation,Reporting probabilities,"Country-specific age rates with calibration multiplier; diagnosis probability remains separate","config/country_profiles.yaml; src_python/model/parameters.py","Separates surveillance observation from clinical treatment dynamics","eTable 7; eTable 11"
Calibration,Calibration target and likelihood,"Most recent 6 observed years; negative-binomial interval likelihood; dispersion 50","config/model_settings.yaml: calibration; src_python/calibration/likelihood.py","Aggregate reported-case calibration with reporting-prior penalty","eTable 7"
Numerical implementation,Solver tolerances,"RK45; rtol 1e-5 and atol 1e-7 in production; calibration uses rtol 1e-4 and atol 1e-6","config/model_settings.yaml: simulation and calibration.simulation_overrides; src_python/model/outputs.py","Balances accuracy and runtime for deterministic ODE runs","eTable 9"
